"cmplnt_apr",""
"11010102","北京,北京市,丰台区,和义西里小区32号楼"
"11010102","广阳区,大兴国际机场,广阳区,大兴国际机场,大兴国际机场航站楼,北京"
"24010201","北京"
"12010204",""
"12010403",""
"110514","北京,北京,上海乐都营业厅"
"18010701",""
"110514","北京,昌平区,鼓楼北营业厅,木[UNK]园营业厅,木[UNK]园营业厅,北京,北京"
"11010106","京津冀,京津冀,石家庄,北京,丰台区总部基地楼内16区8号楼"
"110514","北京,北京,广渠路,营业"
"110510","北京"
"11010101","北京"
"12010401","通州,杨庄村,奥运洋桥"
"110503","北京"
"11010101",""
"240402",""
"110503","广渠门营业厅"
"12020401","永泰园新地标17号楼1509"
"11010101","北京,西城区,西什库大街31-18号"
"110504","北京"
"11020512",""
"12010202",""
"12010302",""
"110514","北京"
"110504","北京,河北,燕郊行宫步行街,迪信通营业厅"
"11020502","陕西"
"110514","北京,北京市"
"110514","北京"
"110514","北京,北京市,平谷区,步行街,电信营业厅"
"110503","北京"
"12010401","小区,京通苑,金乡西,永安家园,园丁小区,乐园18号院,长安小区,季庄小区,唐庄小区,密西花园,家天下儒园,富乐小区,马坊新城,金谷御景,金海社区,海关西园,奥运洋桥"
"12010604","典凯旋城,65"
"12010401","北太b24098105"
"130206",""
"11010203",""
"11010207",""
"110514","北京"
"12010401","林苑西区12号,林苑西区"
"110514",""
"11030103","北京,大兴区,礼贤镇,魏石路桥"
"11020101",""
"12010202",""
"110503","海淀,永定路"
"11010203",""
"12010202","奥运洋桥"
"110514","衡阳,北京,北京"
"11010206","北京"
"110514","北京"
"12010101",""
"18010603","花园石桥路33号9楼,浦东新区,花园石桥路33号,花园石桥路33号9楼,花园石桥路33号,花旗大厦"
"11010203","北京"
"110503",""
"16050103",""
"240404",""
"110503","北京"
"110503","北京"
"110503","北京"
"11010206","北京,奥地利"
"24020303",""
"110503","北京,翠微大厦苹果体验店"
"110514","北京"
"1102010601","邯郸,北京,北京,义庄经济开发区,南海雅苑北区20号楼"
"11010207",""
"110504",""
"240402",""
"24020202","北京"
"12010401","北京"
"24010202","青年路小区b23121716,青年路小区b23121716"
"130301","北京"
"110504",""
"240402","新顺大街营业厅营业厅,顺义区,仁和镇国泰青春馆一层,北太,新顺大街营业厅"
"240401",""
"240402",""
"110514","北京,北京"
"110514","北京"
"110503",""
"110503",""
"11020502","北京"
"110503","北京,通州区"
"12010202","合生霄云路8号,珠江罗马嘉园,奥运洋桥,大山子营业厅"
"110503","北京"
"11060103","北京"
"12010602","御园,奥运洋桥"
"12010303","4220485,s,建外soho"
"210101",""
"240602",""
"11010204","北京"
"11010101","北京"
"11010402","北京"
"SDZ030208",""
"110504","北京"
"11010101","北京,朝阳区,风林绿洲小区地下室"
"110514","北京"
"12010205","奥运洋桥,4128093"
"110503","北京"
"110503","北京"
"11010101","北京,北京市,西城区,马甸邮币卡市场"
"11010101","北京,朝阳区,北苑路"
"110514","北京,北京,湖北,襄阳"
"12010402","北京市,通州区,联东u谷中区61号3层"
"110503","北京"
"110503","北京,昌平,南口三根香蕉营业厅"
"12010601","小营西路30-32号院,北清路26号院,小营东路2号院,广泰小区,毛纺路58号院,奥运洋桥,北京,北京"
"11010103",""
"11010210",""
"240401","东沙各庄村中街合作厅,东沙各庄村中街合作厅"
"210101",""
"12010202","马坊新村,光改,奥运洋桥,北京营业厅,北京"
"110503","北京"
"12010205",""
"12010301",""
"110514","北京"
"12010403",""
"110510","北京"
"24010202",""
"110503","北京,北京市"
"110503",""
"110514","北京"
"240402",""
"11010101","朝阳区,大屯路风林绿洲小区5号楼"
"12010401",""
"12010202","京通苑,金乡西,永安家园,园丁小区,乐园18号院,长安小区,季庄小区,唐庄小区,密西花园,富乐小区,马坊新城,金谷御景,金海社区,海关西园,奥运洋桥"
"240602","五道口电信营业厅"
"110503","北京"
"11010101",""
"11010402",""
"11020508","北京"
"210101",""
"110503",""
"110503","北京市,房山区,阎村镇,肖庄村"
"110503",""
"12010602","朝阳区,朝阳区,朝阳北路\,阿曼寓所（,丽景杰座）3号楼3单元"
"130101","北京"
"110503",""
"110503","北京"
"SDZ030208",""
"12020301",""
"110514","北京"
"240401","北京,朝阳区,六里屯街道,石佛营路十里堡合作营业厅"
"110503",""
"12010401","经济技术开发区营业厅"
"110504",""
"110503",""
"110503",""
"110503","海淀区,西北旺镇,韩家川村"
"110503","中国,北京市,西城区,金融大街31号"
"11010102","北京,北京市,丰台区,靛厂路50号"
"110503","北京"
"240602","北京,苏宁"
"240401","北京"
"11020102","北京"
"110801","澳大利亚,澳大利亚"
"240404","北京,北京市,朝阳区,东大桥电信营业厅"
"110503",""
"110503",""
"110503","北京市,朝阳区,高家园五区二号楼"
"110503","北京市,昌平区"
"110503","西单营业厅"
"110503","马驹桥营业厅,马驹桥营"
"110503",""
"110503",""
"110503","中华人民共和国"
"110503",""
"110503",""
"110503","深圳市,罗湖区,金丰城营业厅"
"130501","西单,西单"
"11010203",""
"11020101","北京,顺义区,新顺南大街"
"110503","北京"
"12010402",""
"110503","北京"
"240402","北京"
"11010101","北京,通州市,潞城镇"
"240401","西罗园路口,作厅"
"12010202","北京,北京,丰台区,新坐标小区b座2115"
"12010401",""
"2104","北京"
"110503","北京"
"110503","北京"
"11010402","北京"
"12010401","域他网小区(,凯元景祺),次渠南里,次渠北里,桃花岛,靓景明居四期,奥运洋桥,爱科马甸营业厅"
"2301","北京,朝阳区,建国路甲92号,世贸大厦c座8层"
"110503","北京"
"1802080201",""
"11010203",""
"110510",""
"12010205",""
"12010301","北京市,平谷区,渔阳公馆a座2504"
"12010202","新康园,安宁佳园,永泰园,于辛新村,朱辛庄新区,天龙苑,奥运洋桥b91277314,新康园小区,海淀北"
"12010301",""
"12010402",""
"110405",""
"110405","北京"
"24010201","北京"
"11010203","四川"
"SDZ030208",""
"110503","北京"
"110503","北京"
"11010203","北京"
"110503","北京"
"11010101","北京,北京市,丰台区,和义西里小区32号楼"
"240404","北京,北京市,朝阳区,十里河,北京市,朝阳区,十里河吕营大街营业厅"
"12010401",""
"130204","北京"
"11010101",""
"130207","辛店公租房"
"11010107","北京市,昌平"
"12010205","上地北"
"110503",""
"11010206",""
"11020101",""
"240602",""
"16010802",""
"110514","北京"
"11010102","北京,北京市,丰台区,和义西里小区"
"240402",""
"110514","北京市,朝阳区,金盏乡,皮村"
"200201",""
"12010304","北京"
"11030101","北京机场,北京"
"110504",""
"110503","望京中心商业区"
"110503","北京,广东省,广州市,天河区,冼村路11号,保利威座大厦北塔28楼"
"110503",""
"110503",""
"110503",""
"110503","昌平区,新悦家园"
"240402","北京市,朝阳区,双井街道,富力城d区2号楼,5,富力城营业厅,富力城e区27号"
"12010301",""
"110514","94"
"11010203","北京"
"130608","通州,杨庄村,吉里,奥运洋桥"
"110503","上地北,奥运洋桥"
"12010205","西单"
"11040101","北京"
"11010101",""
"200103",""
"12010403","康泽佳苑小区,奥运洋桥,69535"
"110503","北京"
"110503","北京"
"11010206","北京"
"110514","北京"
"12010202",""
"12010301","3863,青年路小区"
"110503",""
"110503",""
"110503",""
"110503",""
"110503","北京"
"12010202","奥运洋桥"
"11010203","北京"
"110504",""
"12010402","西单"
"110702","良乡营业厅,房山,亦庄"
"110503","大连"
"110514","北京"
"200103",""
"12030402",""
"240404","北京,昌平区,回龙观"
"110514","北京"
"110503","北京"
"11010101","北京,通州区,台湖镇城市之光盛佳尚苑2号楼"
"110514","北京"
"110503","北京"
"110503","北京"
"240402",""
"11010206",""
"12010401","奥运洋桥"
"11010206","北京"
"110502","北京"
"11010205","北京"
"11010205","北京"
"110503","北京"
"11010102","大兴区"
"110503","北京"
"110503","北京"
"12010402",""
"12010404","西单,北京市"
"11020101",""
"110503","大兴黄村营业厅"
"11060103","北京"
"110503","北京,房山,长阳"
"110503","北京"
"110503","北京"
"11010203",""
"110503",""
"11020101","北京,昌平区"
"11010206",""
"110503","北京,北京,洋桥营业厅"
"110503","北京"
"24020201","北京市,海淀区,阜成路73号,裕惠大厦b座508,北区"
"12010401","生物园小区,网厅商城营业厅,四通桥营业厅"
"110514","北京,北京,海淀区,远大路世纪城远大园2区1号楼"
"11020101",""
"11010205",""
"110503","丰台,南岗洼东口合作厅"
"12020202","欧陆经典凯旋城,亚运村营业厅"
"12010401","北京,北京市,门头沟区,远洋新天地7号楼806室"
"240402",""
"110503","北京,管庄村公寓"
"110514",""
"110503","北京,朝阳区,三元桥营业厅,北京,朝阳区,三元桥"
"12010702",""
"11010101",""
"11010101","北京）,北京二环,光华路财富大厦5楼,北京,北京"
"240402",""
"110503","北京"
"11010101","安徽省,淮南市,田家庵区,舜耕小街,安徽省,淮南市,潘集区"
"12010202","中海高尔夫花园"
"12010202",""
"12010401","北京,北京市,朝阳区\,北苑路170号院欧陆经典（凯旋城）d座"
"12020101",""
"110503","北京"
"110503","北京"
"110506","北京"
"110503","北京"
"11020501",""
"16050203","北京"
"16050103",""
"19","北京"
"11010101","北京,河北,廊坊,大兴国际机场"
"12010401","奥运洋桥"
"110503",""
"110503","楼1单元201"
"110503",""
"110503",""
"110503","王府井,新燕沙购物广场,北京,中国,北京市,东城区,王府井新燕莎金街b1层,电信营业厅"
"110503",""
"110503",""
"110503","朝阳区,曙光西里时间国际a座"
"11010203","北京"
"16050103",""
"11010203",""
"11010206",""
"110504",""
"12020402","昌平,北京人家东口合作厅"
"11010101",""
"12010202","奥运洋桥,常营营业厅,常营营业厅"
"12010601","奥运洋桥公共号池-,上地北,b5,99878"
"24020103","ims,建外soho,通州"
"11010203",""
"12010404","im,建外soho"
"240402",""
"11020103","北京,昌平区,阳坊镇中心北街1号"
"11010102",""
"11020502","河北,河南,湖北"
"11020502","河北"
"24020102","润龙家园小区b22738243"
"210101",""
"12010101","华为（东四）,建外soho(,ngn)"
"110503","北京市,房山区,阎村镇,肖庄村008"
"12010601","嘉华益民,康泉小区,广华新城,东亚印象,台湖,东亚尚品,台湖,奥运洋桥"
"110503","北京"
"11010101","北京,东城区,朝阳门内,东水井胡同,北京inn2号楼"
"11010402","海南,7865,北京,回龙观营业厅"
"11010201",""
"12010205","西山国际城,奥运洋桥"
"130804",""
"11010203",""
"11010206","北京市,昌平区七北路42号,tbd云集中心11号楼301室,北京市,昌平区七北路42号,tbd云集中心11号楼310室,北京市,昌平区七北路42号,tbd云集中心11号楼301室"
"130602",""
"11010102","北京市,大兴区"
"110503","北京"
"11010102","郎各庄"
"12010401",""
"12010202",""
"12010402","中海金石公馆,奥运洋桥,网厅商城营业厅"
"12010402","珠江峰景,奥运洋桥"
"12010402","西单"
"12010202",""
"12010202","西单,西单,ng"
"11010203",""
"110514","北京,广东10000号,北京"
"2304",""
"11010206","北京"
"240402","北京"
"110503","北京"
"11010401","北京"
"110514","北京,呼和浩特,北京,北京"
"11010101","北京,北京市,东城区,东水井胡同"
"110503","北京"
"11010203",""
"110503","北京"
"110514","北京,通州果园地铁,苏宁"
"110503","北京"
"240404",""
"12010205","新康园,安宁佳园,永泰园,于辛新村,朱辛庄新区,天龙苑,永泰园40号院,奥运洋桥"
"11010402","北京市,西城区,金融大街31号"
"110504","中国"
"12010102","北京市,朝阳区,塔营北街,远洋一方5号院9号楼2单元"
"12010404",""
"11020101",""
"12010602","御园,奥运洋桥"
"12020101",""
"110514","北京"
"12010401","上地北"
"110503","北京"
"14010101",""
"12010402","南区-,垂杨柳社区店"
"12010205","顺义公共号池,港荣企业园,奥运洋桥"
"12010301","地北"
"12010402","网小区,亚东立信）,麓景嘉园北里,麓景嘉园南里,前沙涧7号,奥运洋桥"
"210101",""
"110503","北京"
"110807","北京"
"110503","北京"
"16010802","北京"
"110503",""
"110503","北京电信网上营业厅"
"110503",""
"110503","北京市,朝阳区,望京东路4号,恒电大厦,朝阳区,望京东路4号,恒电大厦"
"110503",""
"110503",""
"110503",""
"110503","北京市,北京市,海淀区,蓝靛厂东路2号院金源时代商务中心2号楼a座16c"
"110503",""
"110503",""
"12010302","北清路22号院9号楼4单元202室"
"2304","上海,上海,北京,上海,北京,上海,北京"
"110504","北京"
"12010301","上地北"
"12010405","金海国际花园（,大郊亭）"
"110504","西单营业厅"
"210101","北京"
"11010206",""
"12010206","建外soho,奥运洋桥"
"110503","北京"
"12010205",""
"11010207",""
"12010202","富力城"
"110503","北京,朝阳区,三元桥营业厅,北京电信主厅"
"12010401","西单"
"11010205","北京"
"11010206","北京"
"110503","北京"
"110504",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503","北京市,丰台区,王佐镇,庄户村,北京市,房山区,良乡镇,拱辰北大街,龙湖时代天街广场"
"110503",""
"110503",""
"11010107","北京,朝阳区,三元桥"
"110503","北京,通州区,苏宁,九棵树营业厅"
"24020202",""
"11010206","北京"
"12020204","北京"
"110514","54,北京市"
"110503","北京"
"12010404","美丽园,奥运洋桥"
"12010301","西单"
"12010202","251355,西单"
"12010206","朝阳管庄汇鸿家园合作厅"
"240401","北京"
"11010206","北京"
"12010103","西单"
"110514","北京,黑龙江,黑龙江省,北京"
"11010207",""
"240402",""
"110504",""
"240402","爱科海讯时代花园南路合作厅"
"11010203","北京"
"110503",""
"110503",""
"110503",""
"110503",""
"110503","北京,朝阳区,尚都cbd,南塔"
"110503",""
"110503","厦门,厦门"
"12010402",""
"12010205","晋元庄"
"110503","北京"
"11010101","北京,河北,廊坊市,固安县,水木清华小区"
"110503","北京,北京市,昌平区,回龙观万科广场2楼"
"210101",""
"12010202","西山国际城,奥运洋桥"
"11010206","92"
"110514","北京,南阳,北京,南阳"
"110514","北京,北京,河南,南阳,北京"
"12010601","北京市,丰台区"
"12010301","北京"
"110503",""
"11010101","北京,北京市,朝阳区,十里河"
"110503","北京"
"11010203",""
"12010401","西单"
"12010206","上地北"
"200103",""
"110503",""
"110503",""
"110503","北京"
"11010101","北京,北京市,朝阳区,十里河桥,北京,美联天地建材市场"
"130606","诺德国际广场,奥运洋桥"
"12010401","嘉华益民,康泉小区,广华新城,东亚印象,台湖,台湖,奥运洋桥,台湖营业厅,台湖营业厅"
"110503","北京"
"11010101","北京,密云区,古北水镇"
"130503","朝阳区,龙光南路18号楼"
"240402","十八里店桥合作厅"
"12010402","奥运洋桥b91240466"
"12010301","上地北"
"12010101","北京,丰台区,云冈长青路88号2号楼301室"
"110503","北京"
"11010203","北京"
"11010203",""
"24020201",""
"110514","北京"
"12010601","上地西路营业厅"
"200103",""
"130201","朝阳门营业厅"
"11010201",""
"110503",""
"110503",""
"11010205","北京,通州区,车站路电信营业厅"
"110503","北京市,丰台区"
"11010204","北京"
"12010202","西单"
"110514","京东"
"12010206",""
"14010201","北京"
"110503","北京"
"110504",""
"110503","北京"
"240404","北京,五道口营业厅"
"210101","海南"
"12010202",""
"12010301",""
"110503","电信营业厅"
"24010201","北京"
"240402",""
"2104","北京"
"12010402","通州区,台湖镇,次渠南里11区7号楼"
"14020202","北京"
"12010601",""
"240402","北京,海淀上地营业厅,嘉华大厦,西单营业厅"
"110514","北京"
"12010401","燕保常营家园,奥运洋桥"
"12010105","银河湾511002"
"12010206",""
"110503","北京"
"11010206",""
"130608","望京中心商业区"
"11010207",""
"14020301","青年路小区;,b91031819;"
"240602",""
"11010102","北京,北京,海淀区,西四环北路10号院"
"110504",""
"12010604",""
"12010103","北京"
"11010101","北京,海淀区,曙光花园,望河园"
"2104","北京"
"110503","北京"
"11010203",""
"12011001","艺水芳园"
"12010202",""
"12010301",""
"130501",""
"12010206",""
"11010103",""
"11010101","北京,昌平区,天通苑中苑二区41号楼a座2104"
"110514","北京"
"110503",""
"12010202","苹果社区"
"110503",""
"12010301","大兴孙村,格林云墅-,奥运洋桥"
"240402","北京"
"110503","北京"
"11020101",""
"12010202",""
"11050102",""
"110514",""
"11030203",""
"11010101","北京,北京市,顺义区,林河大街32号"
"110514","北京,海南,北京,北京,大兴区,旧宫镇"
"11010101",""
"110504",""
"110503","北京"
"11010205",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503","常营营业厅,常营营业厅,常营营业厅"
"110503",""
"110503",""
"110503",""
"110503","北京市,石景山区,玉泉路远洋时代广场"
"12010206","东四）,太平庄(ngn)"
"110514",""
"110514",""
"110503",""
"110503","北京"
"11010204","北京,北京"
"24010201","北京"
"110503","北京"
"12010401","北京,吉祥大厦,朝阳北路营业厅"
"20030301","北京"
"110503","北京"
"110504",""
"12030205","湖北"
"110503","北京,北京市,房山区,房山南大街67号营业厅,北京市,房山区,房山南大街67号营业厅"
"11060101","北京"
"11060101","北京"
"12010202",""
"110503",""
"11010101","西山艺墅,奥运洋桥"
"11010101","北京,海淀区,海淀区"
"11010203","北京"
"12010402","昌平世界城二期,奥运洋桥,北京,北京市,昌平区,南邵镇,双营西路78号院路劲世界城2期,号楼,号楼"
"11010102","北京,北京,海淀区,西四环北路10号院"
"110503","北京"
"11020101","北京,朝阳区,崔各庄东辛店235号"
"2104","北京,北京"
"110503","北京"
"110503",""
"110503","北京市,丰台区,卢沟桥乡,永合庄"
"110503","78"
"110503",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503","展春园小区"
"12010401",""
"110503",""
"110503",""
"110503","北京市,海淀区,黑泉路宝盛广场b座6008,北京市,海淀区,黑泉路宝盛广场b座6008"
"110504",""
"110503","北京"
"11010203",""
"110503","北京"
"11010204","北京,北京市,丰台区营业厅"
"11010401",""
"240403","北京,北京"
"110503",""
"11010102","北京,北京市,通州区,马驹桥镇,天鹅堡小区"
"240402","北京,通州区"
"12010601","北京,门头沟营业厅,北京,门头沟滨河路"
"110503","北京"
"160102","北京"
"110514","北京"
"110514","北京"
"240402","西红门营业厅营业厅,北京市,大兴区,西红门北一街1号院4号楼"
"24020201",""
"11010206","北京"
"110514","北京,东北"
"12010402","北京密码6号楼"
"11010206",""
"12010401","上地北"
"110514","北京"
"110503","北京"
"12010101","保利罗兰香谷,奥运洋桥"
"12010205","奥运洋桥"
"110503",""
"110503","安徽省"
"110503",""
"11010101","朝阳区,金长安大厦(c座)"
"110503","北京"
"12010202",""
"16050103","北京市"
"110503","北京"
"12010401","西单"
"110503",""
"12010206","建外soho,奥运洋桥"
"110503","北京"
"110503","北京"
"11010206",""
"11010101","朝阳区,定福庄园艺场"
"110514","北京"
"12010206","上地北,奥运洋桥"
"1801020302","北京"
"110514","北京"
"110503","北京"
"130502","北京市,丰台区\,刘家窑路\,刘家窑南里,刘家窑南里21号楼4单元"
"12010103",""
"110503",""
"11010205","北京市,房山区,阎村镇,肖庄村008"
"210201",""
"110503",""
"11010101","北京"
"110510","北京"
"210101",""
"SDZ030208",""
"110503",""
"12010202",""
"12010202","朝阳"
"110503",""
"110504",""
"12010105","北京,北京市,大兴区\,凉水河二街,泰河园四里三区,中芯花园11号楼2单元\--\3008"
"14010101",""
"12010402","国风,美仑,奥运洋桥"
"110514","北京"
"130301","首特住宅小区"
"240402","金台路口南合作厅"
"1801020601","北京"
"1713","11212310"
"24010202","北京"
"12010206",""
"11060103","北京"
"11010103",""
"110503","北京"
"12010202","园林圣懋老年公寓（二期,奥运洋桥,朝阳门营业厅"
"11010203","北京市,昌平区"
"110514",""
"110503",""
"110503","北京"
"110514","北京"
"12010302","皂君庙东里"
"11010102","京津冀,京津冀,衡水,北京,昌平区生命科技园"
"210101","昌平,燕丹北街合作厅"
"110508",""
"12010301",""
"110507","北京"
"12010404","力宝广场,奥运洋桥"
"2104",""
"110503",""
"24020202",""
"1801030103","北京"
"18010403",""
"12010401","北京,北京市,昌平区,沙河镇,顺沙路8号院3区,巩华城\,东一村\,巩华家园4号楼2单元\"
"11010203",""
"11010101","北京,北京,海淀区,西四环北路10号院"
"110503","北京"
"240403","北京,北京市,丰台区"
"12020205","西单"
"12010104","中国,北京,朝阳区,金地国际花园b2-28b"
"110503","北京市,房山区,城关镇,北京市,房山区,城关镇,南阳"
"110514","北京,上地嘉华大厦b座营业厅"
"110503","北京,北京"
"110503","北京"
"110504",""
"11010203",""
"110503","北京,朝阳区,酒仙桥营业厅,12,北京,朝阳区,酒仙桥银梅艳371422"
"1801020302","北京"
"110514","北京"
"11010203","北京"
"11010206",""
"12010403","常青,通达新村,光改-,奥运洋桥"
"110514","北京"
"24010203",""
"240402","北京,北京市,朝阳区,河北,邯郸"
"110503",""
"12010601","建外soho"
"110514","北京"
"12010202","昌平,龙山华府,奥运洋桥"
"110503","北京"
"240404","北京,团结湖营业厅"
"12010404","清景园,奥运洋桥"
"12010202","太平庄"
"240402","海淀铁家坟西专区"
"210101",""
"110510",""
"2301","北京"
"12010404","奥运洋桥"
"20030301","北京"
"11010102","北京,昌平区,阳坊镇中心北街1号"
"110503","北京"
"11010402","北京"
"110505",""
"130503",""
"130204","回龙观营业厅"
"12010202","建外soho"
"110503",""
"110503",""
"11010101","北京,北京市,昌平区,回龙观龙旗广场"
"11010206","北京"
"110503","北京"
"110506","北京"
"11010206","北京"
"210101","北京"
"110503","北京,北京市,通州区,龙丰,通州"
"110514","漯河,北京,北京"
"12010302",""
"110503","北京"
"11010102","北京,北京,顺义区,通顺路32号"
"12010202",""
"240402","亚东立信）,麓景嘉园北里,麓景嘉园南里,前沙涧7号,奥运洋桥,海淀北麓景嘉园社区店"
"110503","北京,通州次渠店"
"240402","华信通火神庙国际商业中心"
"110514","北京,北京市"
"110503","北京,回龙观营业厅"
"11010101","朝阳区,吕营嘉园a区"
"210101","北京,北京"
"11010205","北京"
"12010301",""
"12010402","ims,建外soho"
"12010205","通州,京嘉创路,杨庄村,卫戍区,奥运洋桥"
"11010101","广州市,广州市,南沙区,广州市,南沙区,深湾街"
"240402",""
"12010202",""
"24010203",""
"12010102","北京"
"1801020302","北京"
"12010601","富力城,富力城营业厅"
"12010204",""
"110503","北京"
"11010203",""
"240401",""
"110503",""
"16050103","北京市"
"24010203",""
"12010202","静安营业厅营业厅"
"12010402","奥运洋桥公共号池-,北太,67040"
"12010601",""
"110503","业厅,江北分公司诚泰建兴东路电信合作专区】营业厅"
"11010102","固安,香河村,固安,香河村,北京,大兴,榆[UNK]镇"
"12010202","苹果社区"
"110514","北京"
"110514","北京"
"210101",""
"130102",""
"240402","古城营业厅,古城营业厅"
"12010402",""
"110514","北京,厦门,北京市,顺义区,北京市"
"240402","滨河路营业厅,门头沟区,滨河路123号"
"11010205",""
"110503","新立湖大兴团河行宫合作厅"
"11020101",""
"130206","驹家园,奥运洋桥,北京,北京市,朝阳区,东坝驹子房d区,金驹家园（,东坝驹子房）3号楼（107）3单元"
"12010402",""
"110514","北京"
"24010203",""
"11010203",""
"12010402","网厅商城营业厅,北京市,北京,北京市,房山区,良乡东路56号院28号,阳光邑上28号楼3单元,西单"
"110503",""
"110503","北京"
"110503","北京,北京,重庆"
"11010103","上海市,浦东新区,陆家嘴浦东大道555号"
"12010402",""
"110514","惠州,北京市,丰台区,西罗园北路12号四路通营业厅"
"11010103","北京"
"1102010601","张家口,北京,朝阳区,芳嘉园小区,北京"
"110503",""
"SDZ030208",""
"12010402","后永康胡同2号楼2002"
"11020101",""
"11020103","北京,朝阳区,东四环中路78号,大城国际中心9楼,北京,朝阳区,东四环中路78号,大城国际中心9楼"
"12010202","御园,奥运洋桥,黄村营业厅"
"12010404",""
"12010404","建外soho"
"24010201","北京,北京市,丰台区营业厅"
"11010101","北京,昌平区,阳坊镇中心北街1号"
"11010101","北京,山东,济南市,万达文旅城"
"11020101","北京,海淀区,永旺家园小区"
"12010602","他网小区,s公共号池,上地北b23146732,他网小区"
"240402","北京,朝阳区"
"12010101","他网小区（,信诺无限),三友公寓,天通苑（ftth）,奥运洋桥,nb24016130,天通苑龙德营业厅"
"11020103","北京,大兴区,林海园1号楼"
"11010206",""
"12010401","巩华城,奥运洋桥"
"1802080201",""
"12010202","银河soho,奥运洋桥"
"11010203",""
"11010101","北京,昌平区,天通苑龙德广场2层"
"11020107","顺义区,赵全营镇,兆丰一街"
"12010104",""
"11010206","北京"
"11010206","北京市"
"12020401",""
"12010401","三环新城7号院11号楼2单元1004,三环新城6号院"
"110514",""
"11020101",""
"110503","北京"
"110514","唐山,北京,市*路,市*路,市*县"
"110514","北京"
"240402",""
"11010101","北京,北京市,昌平区,阳坊镇中心北街1号院"
"110514","北京,北京市,海淀区"
"12010402","南区,垂杨柳社区店"
"12010205","西单营业厅"
"11010402",""
"12010101","首开馨城（c02号,楼）,6"
"12010402","昌平共用号池,北七家海[UNK]落项目,tbd云集中心,绿城阳光,于辛庄新村,于辛庄新村,羊各庄新村,羊各庄新村,豆各庄新村,北方明珠,奥运洋桥"
"130204",""
"11010101","北京,丰台区,义西里小区"
"12010301","北京"
"110514","北京,厦门"
"110503","北京"
"11010101",""
"12010401","奥运洋桥"
"11030101","朝阳区,北京市,朝阳区"
"1802080201",""
"11010203",""
"110510","北京,京东"
"12010102","昌平共用号池,北七家海[UNK]落项目一期,tbd云集中心,绿城阳光,于辛庄新村,于辛庄新村,羊各庄新村二期,羊各庄新村四期,豆各庄新村,北方明珠,奥运洋桥"
"11010101","河南省,扶沟县,大新镇,新南行政村,新南村,75,乌鲁木齐"
"12010404","北太平庄"
"1801020302","北京,59"
"11010101","河北"
"12010303",""
"11010101","北京,密云区,古北水镇"
"110503",""
"110503",""
"240402","北京,五道口电信营业厅"
"1801030302","北京"
"12010301",""
"12010401","奥运洋桥"
"110503",""
"110514",""
"210101",""
"110514","北京"
"12010401",""
"110503",""
"110514",""
"110503","北京"
"24010201","北京"
"110514","北京"
"240401","80"
"14010202","西单"
"11010101","北京,昌平区"
"240401","北京,五道口营业厅"
"12010401","西单"
"1801020401","北京"
"110503",""
"110503","廊坊市,三河市,燕郊镇,永旺梦乐城2层,运动先锋店铺"
"12010205","北京"
"11060202",""
"12010202","北太平庄"
"11020101",""
"240402","顺义石园营业厅"
"12010602","城关营业厅"
"110503","北京"
"12020401",""
"11010101",""
"110504",""
"240404","北京,紫竹桥营业厅,航天桥"
"1801020601","北京"
"240404","北京,海淀区,中关村大街,海龙,中关村营业厅"
"12010401","珠江逸景,北京市,通州区,珠江逸景121号楼302,北京市,通州区,珠江逸景121号楼302"
"130602","丰台区,马家堡东路108号,远洋自然3号楼,102,丰台南路营业厅"
"11020101","北京,河北,廊坊市,固安县,水木清华小区"
"11010204","北京,北京市,朝阳区,北花园小区"
"11060101","中国电信官方旗舰店,北京"
"110514","北京,朝阳区,建国路甲92号,世贸大厦c座8层"
"110514","北京"
"12010301","福润四季小区,奥运洋桥"
"11010101","京津冀,石家庄,北京,大兴新机场,北京"
"11010105",""
"11050102","丰台,刘家窑南里21号楼"
"12010301","凤凰置地广场,奥运洋桥"
"12010205",""
"11010101","朝阳区,来广营,清河营中街,清河营东路"
"12010405",""
"12010401","奥运洋桥,宋家庄营业厅"
"12020702","奥运洋桥"
"110508",""
"12010401","北京市,大兴区,马驹桥富丽尚悦居b01-21110房"
"110503","北京市,昌平区,金隅万科城22号楼"
"240403","北京,大望路周庄嘉园营业厅"
"240403","北京,亦庄,海淀,中关村"
"12010401","上地"
"12010302","建外soho"
"12010206","北太平庄"
"11020107","北京"
"210101",""
"24010202","北京"
"110503","北京,西单大街"
"11010102","北京,北京,延庆,延康路,西红寺桥"
"240402","北京,人民大学东门营业厅"
"240403","北京,五道口,五道口营业厅"
"12010205","上地北b91182577"
"11020701","北京"
"11010402",""
"12010202",""
"11060101","中国电信官方旗舰店,北京"
"1801030302","北京"
"12010205","北京"
"12010404",""
"11050102","北京"
"110514","山西省"
"12010601","北京,北京"
"240602","朝阳区,安贞桥,苏宁易购一层"
"12010601",""
"200103",""
"11010203","北京"
"110503","北京"
"11020103","北京,西四环,昆明湖南路"
"12010203",""
"110503",""
"11010203",""
"11020101",""
"12010301",""
"12010202",""
"110503","北京"
"110503","北京,东直门"
"110503",""
"110503","龙德自营厅"
"110503",""
"110503",""
"11010402","北京"
